tool_name,affiliate_url,cta_text
Notion,https://www.notion.so/product,"Try Notion Free"
Zapier,https://zapier.com/,"Start Automating"
Calendly,https://calendly.com/,"Schedule Free"
Mailchimp,https://mailchimp.com/,"Send First Campaign"
Hubspot CRM,https://www.hubspot.com/products/crm,"Get Free CRM"
Slack,https://slack.com/,"Create Workspace"
Trello,https://trello.com/,"Try Trello"
Asana,https://asana.com/,"Start Trial"
Monday,https://monday.com/,"Get Started"
ClickUp,https://clickup.com/,"Try Free"
